gene_id,gene_symbol
Cre01.g000050,RWP14
Cre01.g000150,ZRT2
Cre01.g000300,CGI58
Cre01.g000650,AMX2
Cre01.g000800,CGL136
Cre01.g000850,CPLD38
Cre01.g000900,CPLD20
Cre01.g001501,RAA11
Cre01.g001550,CIF3
Cre01.g001657,PF22
Cre01.g001750,TIG1
Cre01.g001800,FAP403
Cre01.g002200,RPB6
Cre01.g002300,CYN19B
Cre01.g002350,NAE1
Cre01.g002500,COP21
Cre01.g002550,FAP335
Cre01.g003050,SEC8
Cre01.g003850,CYP747A1
Cre01.g004250,TCTEX1
Cre01.g004300,ASN1
Cre01.g004350,HLM1
Cre01.g004450,CPLD42
Cre01.g004500,LEU1L
Cre01.g004550,FAP190
Cre01.g004600,RWP12
Cre01.g005001,CPLD9
Cre01.g005150,SGA1
Cre01.g005450,RSP10
Cre01.g005600,FDX8
Cre01.g005813,POB31
Cre01.g005850,FAP23
Cre01.g006050,LF3
Cre01.g006100,FDX7
Cre01.g006800,PIGA1
Cre01.g006950,FBA1
Cre01.g007050,CPLD11
Cre01.g007051,RPL40
Cre01.g007350,MOT42
Cre01.g007737,FBT1
Cre01.g007850,NUO18
Cre01.g007950,CYP55B1
Cre01.g008150,RPK1
Cre01.g008650,CDK1
Cre01.g009200,POB29
Cre01.g009250,TOP2
Cre01.g009350,AIH2
Cre01.g009500,CDPK5
Cre01.g009650,BUG25
Cre01.g009800,FAP289
Cre01.g009950,NEP1
Cre01.g010350,LIPB1
Cre01.g010400,FAP380
Cre01.g010700,SYP2
Cre01.g010900,GAPA1
Cre01.g011000,RPL6
Cre01.g011300,SCLP50
Cre01.g011500,RPN11
Cre01.g011901,ARS7
Cre01.g012050,NAR1F
Cre01.g012100,ARS4
Cre01.g012150,MSRA4
Cre01.g012600,PGM2
Cre01.g012800,FAP230
Cre01.g013150,CGLD35
Cre01.g013300,DEG10
Cre01.g013400,PIGS1
Cre01.g013700,VDAC1
Cre01.g013801,TCY1
Cre01.g014250,OPR2
Cre01.g014350,PRX5
Cre01.g014650,PFH5
Cre01.g014800,CPL21
Cre01.g015000,NAGK1
Cre01.g015250,POLD1
Cre01.g015350,POR1
Cre01.g015500,CGL91
Cre01.g015850,FAP68
Cre01.g015950,CPL11
Cre01.g016050,PRP8
Cre01.g016514,DLD2
Cre01.g016600,PSBS1
Cre01.g016750,PSBS2
Cre01.g017200,FKB99
Cre01.g017300,PRPS21
Cre01.g017450,POLA2
Cre01.g017650,RIB30
Cre01.g018000,RPA12
Cre01.g018400,ITPK2
Cre01.g018800,ATP6
Cre01.g018950,DHS1
Cre01.g019100,HPR2
Cre01.g019150,GCP4
Cre01.g019200,NOP52
Cre01.g019250,SNE1
Cre01.g019450,SCE3
Cre01.g019700,PAP7
Cre01.g019850,FTSH3
Cre01.g019900,FAP384
Cre01.g020223,FUM2
Cre01.g020264,ATG6
Cre01.g020305,SDH4
Cre01.g020350,SDH3
Cre01.g020575,HSP22D
Cre01.g020918,PREP1
Cre01.g021050,TIM22A
Cre01.g021150,TMU1
Cre01.g021200,CGL47
Cre01.g021251,ARG7
Cre01.g021450,TPR4
Cre01.g022250,MRPL3
Cre01.g022500,MME5
Cre01.g022600,CGL13
Cre01.g022750,FAP159
Cre01.g023000,PHT4A
Cre01.g023050,UBX2
Cre01.g023150,MCM5
Cre01.g023550,FAP234
Cre01.g024400,TRS85
Cre01.g025000,SSA12
Cre01.g025150,CPLD15
Cre01.g025200,MMP4
Cre01.g025250,RFK2
Cre01.g025300,RAD51B
Cre01.g025350,FAP235
Cre01.g025400,HYDIN1
Cre01.g025450,DRC9
Cre01.g025808,OPR122
Cre01.g025950,PPR8
Cre01.g026100,RPP14
Cre01.g026200,PPR9
Cre01.g026250,AGA1
Cre01.g026400,EXS1
Cre01.g026450,SRS1
Cre01.g026500,ASP3
