GID	exp1	exp2	exp3	con1	con2	con3
Cre01.g005001	20.8064	19.9373	20.0828	10.1774	10.8954	11.2877
Cre01.g013402	55.6543	53.4541	55.9686	41.6909	37.7165	42.1186
Cre01.g010400	2.02134	1.63312	1.78729	42.39734	43.53937	43.60435
Cre01.g001751	1.66575	1.56504	1.71047	2.34817	3.18561	3.89124
Cre01.g013150	7.31138	8.31815	6.91516	5.53889	8.55316	8.84495
Cre01.g020575	45.3412	44.5704	46.9594	51.8027	50.8107	56.0831
Cre01.g000150	13.8186	11.5809	11.0955	5.21723	4.43042	5.6549
Cre01.g004500	46.6739	53.0526	41.5326	41.1259	32.3729	27.1338
Cre01.g021200	9.43617	11.8926	10.3493	19.3051	17.3351	16.6333
Cre01.g007350	19.3054	20.6907	20.6508	15.0914	14.4205	16.4572
