GID	control_0h	experimental_1h	experimental_2h	experimental_4h	control_1h	control_2h	control_4h	experimental_0h
Cre01.g000050	2.95318	2.09704	2.69355	2.73518	2.11827	2.52805	2.90007	1.89822
Cre01.g000100	1.49252	1.24136	1.10667	1.22081	1.29852	1.08508	1.06645	1.31335
Cre01.g000150	8.02734	5.08505	0.95224	19.8342	14.1806	0.584532	48.9223	32.0596
Cre01.g000200	3.20045	2.72008	2.17091	3.02205	2.7987	2.34239	3.78457	3.02943
Cre01.g000250	10.6448	9.81822	9.7149	8.59466	9.70054	10.2024	12.8287	10.0289
Cre01.g000300	5.34513	10.6618	11.8931	5.94405	11.7461	13.4549	7.57323	13.7262
Cre01.g000350	20.7393	16.9516	17.7427	20.0661	18.5363	17.3027	29.7786	19.1469
Cre01.g000400	11.8297	9.62986	6.94762	11.1724	7.46267	6.9276	7.90096	6.93846
Cre01.g000450	12.6368	11.6284	12.0067	13.0982	7.97862	9.96826	10.9177	5.9829
Cre01.g000500	0.711703	2.39267	0.323032	0.726217	2.41445	0.254243	1.11272	4.12827
Cre01.g000550	0.0874252	0.252868	0.130121	0.0792737	0.134116	0.0866696	0.172305	0.215772
Cre01.g000600	11.6516	7.81183	10.9884	9.6864	7.82359	10.0197	9.19219	7.26133
Cre01.g000650	4.07433	5.52115	1.58051	4.81372	6.63062	2.60679	3.60209	15.1113
Cre01.g000700	0.762734	0.617853	0.740449	0.773048	0.721563	0.710501	0.731029	0.594127
Cre01.g000750	1.6553	2.26864	2.06327	1.56241	2.23482	2.04375	2.10694	3.00593
Cre01.g000800	3.55712	2.46215	3.25368	3.01791	2.39414	3.24754	4.08433	2.4278
Cre01.g000850	46.6036	31.7388	51.4011	41.8619	32.1163	47.0324	58.6461	34.3282
Cre01.g000900	14.064	27.4892	20.8298	15.6567	30.3967	23.3988	13.5244	24.0419
Cre01.g000950	0.230414	0.252503	0.274898	0.220307	0.146518	0.248361	0.2178	0.238978
Cre01.g001000	2.48355	2.28085	1.48963	2.25557	1.17796	1.14287	0.906509	0.819634
Cre01.g001100	44.0433	43.8893	38.8562	49.8392	38.4339	42.5439	38.9748	25.4291
Cre01.g001150	1.02285	0.841315	1.0122	1.10216	0.937233	1.12625	0.997488	1.14601
Cre01.g001200	4.23314	6.53256	3.72478	4.61176	7.41035	3.8538	3.91072	8.05696
Cre01.g001250	0.0356202	0.136991	0.0311028	0.0449966	0.147033	0.0280362	0.0246457	0.18395
Cre01.g001300	0.145504	0.76826	0.506071	0.127511	0.762235	0.498412	0.0984338	0.823385
Cre01.g001350	2.56933	2.40989	2.05842	2.38145	2.01285	1.96141	2.21135	1.47535
Cre01.g001400	2.48686	3.79534	2.56563	3.425	4.13997	2.97636	2.77763	3.18714
Cre01.g001450	5.35976	6.15832	6.37194	4.1434	3.54699	5.26677	4.13164	6.567
Cre01.g001501	0.330451	0.270446	0.450034	0.296754	0.362702	0.281637	0.379835	0.329993
Cre01.g001550	18.2792	23.1909	33.8363	14.9129	23.893	26.1048	24.2894	32.6606
Cre01.g001600	1.43712	3.20047	1.97838	1.80783	3.16503	2.25698	1.2361	2.74676
Cre01.g001650	0.197369	0.206656	0.25018	0.15201	0.147839	0.161772	0.264312	0.283808
Cre01.g001657	1.97207	1.97391	2.12402	2.00189	1.74865	1.8207	1.99483	1.87748
Cre01.g001664	7.29083	3.51966	4.22014	7.88906	3.57518	4.01498	8.2623	2.6171
Cre01.g001678	3.09926	3.04787	3.85921	3.75834	3.76764	4.43831	3.15987	2.94457
Cre01.g001700	1.69955	2.5847	3.54894	1.48686	2.15418	3.54063	1.38624	1.13857
Cre01.g001750	31.891	68.8848	104.681	35.8312	81.5069	88.4218	45.3605	89.2241
Cre01.g001800	7.37166	20.4205	20.6444	6.91389	18.4424	18.0885	6.05492	19.9634
Cre01.g001950	3.43232	7.62311	10.7886	3.32593	7.97648	9.70273	3.62106	10.0973
Cre01.g001983	38.1836	110.689	126.662	40.5717	98.7157	147.559	45.6258	80.128
Cre01.g002050	6.0181	9.93166	10.9927	5.35009	11.5344	13.7449	5.62228	9.54872
Cre01.g002100	2.17065	4.62899	5.33895	2.50903	4.99284	6.32407	2.23392	2.8616
Cre01.g002150	5.45973	13.3129	12.0718	4.47043	7.23419	10.2409	2.67538	7.5558
Cre01.g002200	106.871	139.188	166.228	96.0964	113.77	140.074	77.3871	85.4336
Cre01.g002201	0.978377	1.06457	1.58368	0.849508	0.937265	1.28938	0.690908	0.856816
Cre01.g002227	2.64281	3.82018	3.89028	1.97579	3.25137	2.75089	2.76624	4.27787
Cre01.g002250	6.78357	9.85046	12.7245	5.47354	9.61042	9.98181	12.7823	16.047
Cre01.g002300	717.793	1449.16	1342.89	836.424	1302.82	1616.44	634.566	557.97
